#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	volIntegrate(rhoeps)	volIntegrate(rho)
              376	1.0493346716e-01	1.0493367168e-01
              377	1.0493345121e-01	1.0493365573e-01
              378	1.0493343538e-01	1.0493363990e-01
              379	1.0493341950e-01	1.0493362402e-01
              380	1.0493340364e-01	1.0493360816e-01
              381	1.0493338794e-01	1.0493359247e-01
              382	1.0493337228e-01	1.0493357680e-01
              383	1.0493335658e-01	1.0493356110e-01
              384	1.0493334089e-01	1.0493354542e-01
              385	1.0493332534e-01	1.0493352986e-01
              386	1.0493330966e-01	1.0493351419e-01
              387	1.0493329402e-01	1.0493349855e-01
              388	1.0493327851e-01	1.0493348303e-01
              389	1.0493326298e-01	1.0493346751e-01
              390	1.0493324754e-01	1.0493345207e-01
              391	1.0493323207e-01	1.0493343660e-01
              392	1.0493321661e-01	1.0493342114e-01
              393	1.0493320135e-01	1.0493340588e-01
              394	1.0493318587e-01	1.0493339040e-01
              395	1.0493317048e-01	1.0493337502e-01
              396	1.0493315521e-01	1.0493335975e-01
              397	1.0493313994e-01	1.0493334448e-01
              398	1.0493312474e-01	1.0493332928e-01
              399	1.0493310965e-01	1.0493331419e-01
              400	1.0493309455e-01	1.0493329908e-01
              401	1.0493307939e-01	1.0493328393e-01
              402	1.0493306439e-01	1.0493326893e-01
              403	1.0493304930e-01	1.0493325384e-01
              404	1.0493303436e-01	1.0493323890e-01
              405	1.0493301944e-01	1.0493322398e-01
              406	1.0493300455e-01	1.0493320910e-01
              407	1.0493298977e-01	1.0493319431e-01
              408	1.0493297495e-01	1.0493317949e-01
              409	1.0493296006e-01	1.0493316460e-01
              410	1.0493294544e-01	1.0493314998e-01
              411	1.0493293055e-01	1.0493313510e-01
              412	1.0493291571e-01	1.0493312025e-01
              413	1.0493290099e-01	1.0493310554e-01
              414	1.0493288627e-01	1.0493309083e-01
              415	1.0493287154e-01	1.0493307609e-01
              416	1.0493285694e-01	1.0493306149e-01
              417	1.0493284222e-01	1.0493304678e-01
              418	1.0493282766e-01	1.0493303222e-01
              419	1.0493281305e-01	1.0493301761e-01
              420	1.0493279836e-01	1.0493300292e-01
              421	1.0493278380e-01	1.0493298836e-01
              422	1.0493276940e-01	1.0493297396e-01
              423	1.0493275471e-01	1.0493295927e-01
              424	1.0493274037e-01	1.0493294493e-01
              425	1.0493272609e-01	1.0493293065e-01
              426	1.0493271183e-01	1.0493291639e-01
              427	1.0493269747e-01	1.0493290204e-01
              428	1.0493268320e-01	1.0493288777e-01
              429	1.0493266904e-01	1.0493287360e-01
              430	1.0493265467e-01	1.0493285923e-01
              431	1.0493264048e-01	1.0493284505e-01
              432	1.0493262635e-01	1.0493283092e-01
              433	1.0493261221e-01	1.0493281678e-01
              434	1.0493259805e-01	1.0493280263e-01
              435	1.0493258385e-01	1.0493278842e-01
              436	1.0493256986e-01	1.0493277443e-01
              437	1.0493255590e-01	1.0493276048e-01
              438	1.0493254205e-01	1.0493274662e-01
              439	1.0493252796e-01	1.0493273254e-01
