#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)
              174	5.4189329423e-04	3.9957631150e-01	5.9988179521e-01
              175	5.4132610020e-04	3.9957675497e-01	5.9988191893e-01
              176	5.4076107581e-04	3.9957719674e-01	5.9988204218e-01
              177	5.4019824569e-04	3.9957763680e-01	5.9988216496e-01
              178	5.3963762362e-04	3.9957807513e-01	5.9988228725e-01
              179	5.3907922612e-04	3.9957851172e-01	5.9988240905e-01
              180	5.3852306714e-04	3.9957894656e-01	5.9988253037e-01
              181	5.3796915848e-04	3.9957937964e-01	5.9988265120e-01
              182	5.3741751036e-04	3.9957981096e-01	5.9988277153e-01
              183	5.3686813375e-04	3.9958024050e-01	5.9988289137e-01
              184	5.3632103369e-04	3.9958066826e-01	5.9988301071e-01
              185	5.3577620704e-04	3.9958109424e-01	5.9988312955e-01
              186	5.3523365714e-04	3.9958151844e-01	5.9988324790e-01
              187	5.3469338410e-04	3.9958194086e-01	5.9988336576e-01
              188	5.3415539310e-04	3.9958236150e-01	5.9988348311e-01
              189	5.3361967596e-04	3.9958278036e-01	5.9988359997e-01
              190	5.3308622846e-04	3.9958319744e-01	5.9988371633e-01
              191	5.3255504931e-04	3.9958361275e-01	5.9988383220e-01
              192	5.3202613126e-04	3.9958402630e-01	5.9988394757e-01
              193	5.3149946135e-04	3.9958443808e-01	5.9988406246e-01
              194	5.3097503958e-04	3.9958484811e-01	5.9988417685e-01
              195	5.3045285141e-04	3.9958525639e-01	5.9988429076e-01
              196	5.2993288511e-04	3.9958566294e-01	5.9988440418e-01
              197	5.2941513919e-04	3.9958606774e-01	5.9988451712e-01
              198	5.2889959800e-04	3.9958647083e-01	5.9988462957e-01
              199	5.2838624914e-04	3.9958687220e-01	5.9988474155e-01
              200	5.2787508135e-04	3.9958727186e-01	5.9988485305e-01
              201	5.2736607956e-04	3.9958766984e-01	5.9988496408e-01
              202	5.2685923457e-04	3.9958806612e-01	5.9988507464e-01
              203	5.2635453380e-04	3.9958846073e-01	5.9988518474e-01
              204	5.2585196415e-04	3.9958885367e-01	5.9988529436e-01
              205	5.2535151124e-04	3.9958924496e-01	5.9988540353e-01
              206	5.2485315136e-04	3.9958963461e-01	5.9988551224e-01
              207	5.2435688162e-04	3.9959002263e-01	5.9988562049e-01
              208	5.2386268406e-04	3.9959040903e-01	5.9988572829e-01
              209	5.2337054511e-04	3.9959079381e-01	5.9988583564e-01
              210	5.2288044938e-04	3.9959117700e-01	5.9988594255e-01
              211	5.2239237818e-04	3.9959155861e-01	5.9988604901e-01
              212	5.2190632074e-04	3.9959193864e-01	5.9988615504e-01
              213	5.2142226563e-04	3.9959231711e-01	5.9988626062e-01
              214	5.2094018448e-04	3.9959269403e-01	5.9988636578e-01
              215	5.2046006821e-04	3.9959306942e-01	5.9988647051e-01
              216	5.1998190747e-04	3.9959344328e-01	5.9988657481e-01
              217	5.1950567805e-04	3.9959381563e-01	5.9988667869e-01
              218	5.1903136558e-04	3.9959418648e-01	5.9988678216e-01
              219	5.1855896287e-04	3.9959455583e-01	5.9988688520e-01
              220	5.1808844694e-04	3.9959492371e-01	5.9988698784e-01
              221	5.1761980701e-04	3.9959529013e-01	5.9988709006e-01
              222	5.1715302478e-04	3.9959565509e-01	5.9988719188e-01
              223	5.1668808768e-04	3.9959601861e-01	5.9988729330e-01
              224	5.1622497705e-04	3.9959638070e-01	5.9988739432e-01
              225	5.1576367633e-04	3.9959674138e-01	5.9988749495e-01
              226	5.1530417370e-04	3.9959710065e-01	5.9988759518e-01
              227	5.1484645653e-04	3.9959745852e-01	5.9988769502e-01
              228	5.1439050675e-04	3.9959781501e-01	5.9988779448e-01
              229	5.1393630821e-04	3.9959817014e-01	5.9988789356e-01
              230	5.1348384829e-04	3.9959852390e-01	5.9988799225e-01
              231	5.1303311226e-04	3.9959887632e-01	5.9988809057e-01
              232	5.1258408704e-04	3.9959922739e-01	5.9988818852e-01
              233	5.1213675348e-04	3.9959957715e-01	5.9988828610e-01
              234	5.1169110626e-04	3.9959992559e-01	5.9988838331e-01
              235	5.1124712223e-04	3.9960027272e-01	5.9988848015e-01
              236	5.1080478843e-04	3.9960061857e-01	5.9988857664e-01
              237	5.1036409512e-04	3.9960096313e-01	5.9988867277e-01
              238	5.0992502615e-04	3.9960130643e-01	5.9988876855e-01
              239	5.0948757203e-04	3.9960164846e-01	5.9988886397e-01
              240	5.0905172180e-04	3.9960198924e-01	5.9988895904e-01
              241	5.0861745252e-04	3.9960232878e-01	5.9988905377e-01
              242	5.0818475258e-04	3.9960266709e-01	5.9988914816e-01
              243	5.0775361419e-04	3.9960300419e-01	5.9988924220e-01
              244	5.0732402107e-04	3.9960334007e-01	5.9988933591e-01
              245	5.0689596355e-04	3.9960367475e-01	5.9988942928e-01
              246	5.0646942315e-04	3.9960400825e-01	5.9988952232e-01
              247	5.0604439406e-04	3.9960434057e-01	5.9988961504e-01
              248	5.0562085960e-04	3.9960467172e-01	5.9988970742e-01
              249	5.0519881016e-04	3.9960500170e-01	5.9988979949e-01
              250	5.0477823628e-04	3.9960533054e-01	5.9988989123e-01
              251	5.0435911905e-04	3.9960565823e-01	5.9988998265e-01
              252	5.0394144806e-04	3.9960598479e-01	5.9989007376e-01
              253	5.0352521401e-04	3.9960631023e-01	5.9989016455e-01
              254	5.0311040146e-04	3.9960663456e-01	5.9989025504e-01
              255	5.0269699828e-04	3.9960695779e-01	5.9989034521e-01
              256	5.0228499667e-04	3.9960727992e-01	5.9989043508e-01
              257	5.0187438741e-04	3.9960760096e-01	5.9989052465e-01
              258	5.0146515884e-04	3.9960792093e-01	5.9989061392e-01
              259	5.0105729695e-04	3.9960823982e-01	5.9989070288e-01
              260	5.0065079445e-04	3.9960855765e-01	5.9989079155e-01
              261	5.0024564080e-04	3.9960887443e-01	5.9989087993e-01
              262	4.9984182020e-04	3.9960919016e-01	5.9989096802e-01
              263	4.9943932640e-04	3.9960950486e-01	5.9989105582e-01
              264	4.9903814796e-04	3.9960981853e-01	5.9989114333e-01
              265	4.9863826978e-04	3.9961013118e-01	5.9989123055e-01
              266	4.9823968922e-04	3.9961044282e-01	5.9989131749e-01
              267	4.9784239405e-04	3.9961075345e-01	5.9989140416e-01
              268	4.9744637281e-04	3.9961106308e-01	5.9989149054e-01
              269	4.9705161554e-04	3.9961137173e-01	5.9989157665e-01
              270	4.9665811324e-04	3.9961167940e-01	5.9989166249e-01
              271	4.9626585686e-04	3.9961198609e-01	5.9989174805e-01
              272	4.9587483725e-04	3.9961229182e-01	5.9989183335e-01
              273	4.9548504509e-04	3.9961259658e-01	5.9989191837e-01
              274	4.9509647115e-04	3.9961290040e-01	5.9989200313e-01
              275	4.9470910723e-04	3.9961320326e-01	5.9989208763e-01
              276	4.9432294419e-04	3.9961350519e-01	5.9989217186e-01
              277	4.9393797232e-04	3.9961380619e-01	5.9989225584e-01
              278	4.9355418386e-04	3.9961410626e-01	5.9989233955e-01
              279	4.9317156779e-04	3.9961440542e-01	5.9989242302e-01
              280	4.9279011149e-04	3.9961470367e-01	5.9989250622e-01
              281	4.9240981116e-04	3.9961500101e-01	5.9989258918e-01
              282	4.9203065826e-04	3.9961529746e-01	5.9989267188e-01
              283	4.9165264678e-04	3.9961559301e-01	5.9989275434e-01
