#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
8990 0.000175166356209503 1.73077944251084e-05 3.25375219729046e-06 0.000118799124072293 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9000 0.000175167423626146 1.73077944251084e-05 3.25375219729046e-06 0.000118799320243019 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9010 0.000175168535931169 1.73077944251084e-05 3.25375219729046e-06 0.000118799525131931 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9020 0.000175169653093727 1.73077944251084e-05 3.25375219729046e-06 0.000118799730979375 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9030 0.000175170711642602 1.73077944251084e-05 3.25375219729046e-06 0.000118799925493898 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9040 0.00017517184144402 1.73077944251084e-05 3.25375219729046e-06 0.000118800133830452 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9050 0.00017517293621874 1.73077944251084e-05 3.25375219729046e-06 0.000118800335404248 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9060 0.000175174060371286 1.73077944251084e-05 3.25375219729046e-06 0.000118800542690918 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9070 0.000175175148977604 1.73077944251084e-05 3.25375219729046e-06 0.000118800743107647 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9080 0.000175176254014382 1.73077944251084e-05 3.25375219729046e-06 0.000118800946729779 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9090 0.000175177303643858 1.73077944251084e-05 3.25375219729046e-06 0.000118801139633956 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9100 0.000175178349260033 1.73077944251084e-05 3.25375219729046e-06 0.000118801331786441 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9110 0.000175179469399502 1.73077944251084e-05 3.25375219729046e-06 0.000118801538386755 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
9120 0.000175180533083733 1.73077944251084e-05 3.25375219729046e-06 0.00011880173407417 1.13179972603769e-05 2.1281082191436e-06 0.598 0.2122 0.0399 0.02
