#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
6200 4.78160596839819e-05 1.69675047908718e-05 3.19040264446728e-06 3.18787367452976e-05 1.13121537413922e-05 2.12702608049822e-06 0.598 0.2122 0.0399 0.02
6300 4.78222822924986e-05 1.69697128803823e-05 3.19081783189173e-06 3.18796648035233e-05 1.1312483062388e-05 2.12708800277782e-06 0.598 0.2122 0.0399 0.02
6400 4.78283927616561e-05 1.69718811772973e-05 3.19122553710809e-06 3.18805763479153e-05 1.13128065234582e-05 2.12714882321468e-06 0.598 0.2122 0.0399 0.02
6500 4.78344030366665e-05 1.69740139203696e-05 3.19162655712968e-06 3.18814734906983e-05 1.13131248741247e-05 2.12720868274151e-06 0.598 0.2122 0.0399 0.02
6600 4.78402959177927e-05 1.69761050062809e-05 3.19201974434864e-06 3.18823527750971e-05 1.13134368877525e-05 2.12726735071393e-06 0.598 0.2122 0.0399 0.02
6700 4.78460172182288e-05 1.69781352068704e-05 3.19240148329078e-06 3.18832037366467e-05 1.13137388510315e-05 2.12732412891766e-06 0.598 0.2122 0.0399 0.02
6800 4.78516984780702e-05 1.6980151199075e-05 3.19278055062802e-06 3.18840512544612e-05 1.13140395923027e-05 2.12738067734709e-06 0.598 0.2122 0.0399 0.02
6900 4.7857282719552e-05 1.69821327643634e-05 3.19315314466669e-06 3.18848843420312e-05 1.13143352130091e-05 2.12743626295586e-06 0.598 0.2122 0.0399 0.02
7000 4.7862798307141e-05 1.69840899678524e-05 3.19352115795232e-06 3.18857082544268e-05 1.13146275779093e-05 2.1274912363749e-06 0.598 0.2122 0.0399 0.02
7100 4.78682342957157e-05 1.6986018925671e-05 3.19388386020002e-06 3.18865207669813e-05 1.13149158975816e-05 2.12754544916908e-06 0.598 0.2122 0.0399 0.02
7200 4.78735785514432e-05 1.69879153321348e-05 3.19424044181127e-06 3.18873194257673e-05 1.13151993012512e-05 2.12759873760648e-06 0.598 0.2122 0.0399 0.02
7300 4.78787507407915e-05 1.69897506809303e-05 3.19458554273936e-06 3.18880888519061e-05 1.13154723317305e-05 2.12765007557126e-06 0.598 0.2122 0.0399 0.02
7400 4.78838419442265e-05 1.69915572919151e-05 3.1949252400923e-06 3.18888462334422e-05 1.13157410881887e-05 2.12770060989114e-06 0.598 0.2122 0.0399 0.02
7500 4.78888474566701e-05 1.69933334954946e-05 3.19525921993594e-06 3.188959055669e-05 1.13160052109197e-05 2.12775027293058e-06 0.598 0.2122 0.0399 0.02
7600 4.78938066849817e-05 1.69950932751731e-05 3.19559011159085e-06 3.189032920629e-05 1.13162673203597e-05 2.12779955741058e-06 0.598 0.2122 0.0399 0.02
7700 4.78987533589939e-05 1.69968485999647e-05 3.19592016559266e-06 3.18910684718274e-05 1.13165296483648e-05 2.12784888298741e-06 0.598 0.2122 0.0399 0.02
7800 4.79035233200914e-05 1.69985412182672e-05 3.19623842888328e-06 3.1891777023935e-05 1.13167810777247e-05 2.12789615929024e-06 0.598 0.2122 0.0399 0.02
7900 4.79082920492534e-05 1.7000233399418e-05 3.1965566099762e-06 3.18924881193896e-05 1.13170334095901e-05 2.12794360529131e-06 0.598 0.2122 0.0399 0.02
8000 4.79129705630254e-05 1.70018935676829e-05 3.19686877168105e-06 3.18931847341661e-05 1.1317280602994e-05 2.12799008510666e-06 0.598 0.2122 0.0399 0.02
8100 4.79175967240198e-05 1.70035351585909e-05 3.19717744028252e-06 3.18938739441281e-05 1.13175251688033e-05 2.12803607085496e-06 0.598 0.2122 0.0399 0.02
8200 4.79221409458e-05 1.70051476734099e-05 3.1974806417023e-06 3.18945500073563e-05 1.13177650695007e-05 2.12808117942153e-06 0.598 0.2122 0.0399 0.02
8300 4.79272998637496e-05 1.70069783128563e-05 3.19765158590007e-06 3.18953157925928e-05 1.13180368080077e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
8400 4.79318607366699e-05 1.7008596736324e-05 3.19765158590007e-06 3.1895994189985e-05 1.1318277536982e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
8500 4.79415729706678e-05 1.70088650457224e-05 3.19765158590007e-06 3.18974398498093e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
8600 4.79456207797545e-05 1.70088650457224e-05 3.19765158590007e-06 3.189804301795e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
8700 4.79495249000193e-05 1.70088650457224e-05 3.19765158590007e-06 3.18986221218361e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
8800 4.79534048074908e-05 1.70088650457224e-05 3.19765158590007e-06 3.18991997545764e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
8900 4.79572400244704e-05 1.70088650457224e-05 3.19765158590007e-06 3.18997719190806e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
9000 4.79609199809075e-05 1.70088650457224e-05 3.19765158590007e-06 3.19003175014579e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
9100 4.79645808789914e-05 1.70088650457224e-05 3.19765158590007e-06 3.19008622897072e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
9200 4.79681728320664e-05 1.70088650457224e-05 3.19765158590007e-06 3.1901396697417e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
9300 4.7971651347452e-05 1.70088650457224e-05 3.19765158590007e-06 3.19019122195178e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
9400 4.79751232111923e-05 1.70088650457224e-05 3.19765158590007e-06 3.1902429035547e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
9500 4.79785212561186e-05 1.70088650457224e-05 3.19765158590007e-06 3.19029343162758e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
9600 4.79819017755005e-05 1.70088650457224e-05 3.19765158590007e-06 3.19034386689271e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
9700 4.79851920212468e-05 1.70088650457224e-05 3.19765158590007e-06 3.19039282098334e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
9800 4.79883628817811e-05 1.70088650457224e-05 3.19765158590007e-06 3.19043973421552e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
9900 4.79915095695033e-05 1.70088650457224e-05 3.19765158590007e-06 3.19048640790145e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
10000 4.79945908452778e-05 1.70088650457224e-05 3.19765158590007e-06 3.19053205221573e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
10100 4.79976583784744e-05 1.70088650457224e-05 3.19765158590007e-06 3.19057764242388e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
10200 4.80006690873585e-05 1.70088650457224e-05 3.19765158590007e-06 3.19062235376838e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
10300 4.80036504407534e-05 1.70088650457224e-05 3.19765158590007e-06 3.19066670393086e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
10400 4.80066190695483e-05 1.70088650457224e-05 3.19765158590007e-06 3.19071100168509e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
10500 4.80095058232514e-05 1.70088650457224e-05 3.19765158590007e-06 3.19075392982854e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
10600 4.80122748232304e-05 1.70088650457224e-05 3.19765158590007e-06 3.19079480160238e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
10700 4.80150734777242e-05 1.70088650457224e-05 3.19765158590007e-06 3.190836410992e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
10800 4.80178283642981e-05 1.70088650457224e-05 3.19765158590007e-06 3.19087735886852e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
10900 4.80205547623312e-05 1.70088650457224e-05 3.19765158590007e-06 3.19091793098395e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
11000 4.80232103276485e-05 1.70088650457224e-05 3.19765158590007e-06 3.19095731963271e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
11100 4.80258200281998e-05 1.70088650457224e-05 3.19765158590007e-06 3.19099599449512e-05 1.13183172467734e-05 2.12810660445472e-06 0.598 0.2122 0.0399 0.02
