#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(H2)	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)	weightedVolAverage(H2O)
              168	4.4537861353e-03	6.5335814691e-02	3.0988362181e-01	6.2023548540e-01	9.1291968141e-05
              169	4.4537905056e-03	6.5335351288e-02	3.0988398730e-01	6.2023560991e-01	9.1260993983e-05
              170	4.4537948852e-03	6.5334889750e-02	3.0988435140e-01	6.2023573405e-01	9.1229912782e-05
              171	4.4537992731e-03	6.5334430098e-02	3.0988471408e-01	6.2023585782e-01	9.1198733197e-05
              172	4.4538036681e-03	6.5333972358e-02	3.0988507532e-01	6.2023598119e-01	9.1167464973e-05
              173	4.4538080692e-03	6.5333516551e-02	3.0988543510e-01	6.2023610416e-01	9.1136117342e-05
              174	4.4538124753e-03	6.5333062694e-02	3.0988579341e-01	6.2023622672e-01	9.1104697782e-05
              175	4.4538168856e-03	6.5332610802e-02	3.0988615023e-01	6.2023634887e-01	9.1073214662e-05
              176	4.4538212991e-03	6.5332160890e-02	3.0988650555e-01	6.2023647058e-01	9.1041675393e-05
              177	4.4538257150e-03	6.5331712970e-02	3.0988685936e-01	6.2023659187e-01	9.1010087316e-05
              178	4.4538301325e-03	6.5331267050e-02	3.0988721164e-01	6.2023671272e-01	9.0978456331e-05
              179	4.4538345510e-03	6.5330823135e-02	3.0988756240e-01	6.2023683312e-01	9.0946787894e-05
              180	4.4538389700e-03	6.5330381229e-02	3.0988791163e-01	6.2023695308e-01	9.0915087374e-05
              181	4.4538433886e-03	6.5329941340e-02	3.0988825932e-01	6.2023707259e-01	9.0883361067e-05
              182	4.4538478061e-03	6.5329503471e-02	3.0988860547e-01	6.2023719164e-01	9.0851614405e-05
              183	4.4538522222e-03	6.5329067621e-02	3.0988895007e-01	6.2023731024e-01	9.0819851682e-05
              184	4.4538566364e-03	6.5328633790e-02	3.0988929312e-01	6.2023742837e-01	9.0788076815e-05
              185	4.4538610482e-03	6.5328201972e-02	3.0988963464e-01	6.2023754605e-01	9.0756292964e-05
              186	4.4538654572e-03	6.5327772167e-02	3.0988997461e-01	6.2023766327e-01	9.0724504826e-05
